player_name,role,s1_runs,s2_runs,s3_runs_pred,s3_runs_range,runs_trend,runs_delta,s1_strike_rate,s2_strike_rate,s3_strike_rate_pred,s3_sr_range,sr_trend,recommendation,priority,max_bid,reason
MP O'Dowd,Batter,,20.0,,,INSUFFICIENT_DATA,,,66.67,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Maaz Sadaqat,Batter,,113.0,,,INSUFFICIENT_DATA,,,150.67,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Milan Bohara,Batter,,5.0,,,INSUFFICIENT_DATA,,,250.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
MJ Guptill,Batter,139.0,125.0,129.2,109.82-148.58,STABLE,-14.0,115.83,150.6,140.17,119.14-161.19,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
NB Budayair,Batter,28.0,,,,INSUFFICIENT_DATA,,121.74,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Mukhtar Ahmed,Batter,,10.0,,,INSUFFICIENT_DATA,,,90.91,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
N Dickwella,Batter,,137.0,,,INSUFFICIENT_DATA,,,117.09,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
N Joshi,Batter,38.0,48.0,45.0,38.25-51.75,STABLE,10.0,105.56,100.0,101.67,86.42-116.92,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Najibullah Zadran,Batter,,66.0,,,INSUFFICIENT_DATA,,,113.79,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
NR Kirton,Batter,95.0,,,,INSUFFICIENT_DATA,,88.79,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Nar Sarki,Batter,22.0,,,,INSUFFICIENT_DATA,,157.14,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
P Sarraf,Batter,,109.0,,,INSUFFICIENT_DATA,,,125.29,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
WG Bosisto,Batter,,96.0,,,INSUFFICIENT_DATA,,,106.67,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
TJ Draca,Batter,,6.0,,,INSUFFICIENT_DATA,,,150.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
TJ Moores,Batter,165.0,,,,INSUFFICIENT_DATA,,123.13,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
SS Eskinazi,Batter,133.0,,,,INSUFFICIENT_DATA,,114.66,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Sachin Bhatt,Batter,,0.0,,,INSUFFICIENT_DATA,,,0.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
RS Bopara,Batter,286.0,237.0,251.7,213.94-289.45,STABLE,-49.0,133.02,128.8,130.07,110.56-149.58,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
S Dhawan,Batter,136.0,,,,INSUFFICIENT_DATA,,115.25,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
S Jora,Batter,120.0,115.0,116.5,99.03-133.97,STABLE,-5.0,101.69,105.5,104.36,88.7-120.01,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
SA Zaib,Batter,,116.0,,,INSUFFICIENT_DATA,,,128.89,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
S Karki,Batter,108.0,,,,INSUFFICIENT_DATA,,93.1,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
SA Edwards,Batter,60.0,,,,INSUFFICIENT_DATA,,109.09,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
S Patel,Batter,,22.0,,,INSUFFICIENT_DATA,,,78.57,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
SD Heazlett,Batter,,150.0,,,INSUFFICIENT_DATA,,,147.06,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
SP Jackson,Batter,,21.0,,,INSUFFICIENT_DATA,,,140.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
SMLD Samarakoon,Batter,,22.0,,,INSUFFICIENT_DATA,,,104.76,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
SL Verma,Batter,,56.0,,,INSUFFICIENT_DATA,,,130.23,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Z Malik,Batter,14.0,,,,INSUFFICIENT_DATA,,56.0,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
WD Parnell,Batter,,64.0,,,INSUFFICIENT_DATA,,,123.08,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
TR Das,Batter,,39.0,,,INSUFFICIENT_DATA,,,82.98,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
TB Thapa,Batter,0.0,0.0,0.0,,STABLE,0.0,0.0,0.0,0.0,,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Saugat Dhakal,Batter,,0.0,,,INSUFFICIENT_DATA,,,0.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Sameer Ali,Batter,,1.0,,,INSUFFICIENT_DATA,,,50.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
A Gharti,Batter,79.0,17.0,48.0,40.8-55.2,DECLINING,-62.0,105.33,62.96,75.67,64.32-87.02,STABLE,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
Aasif Sheikh,Batter,162.0,105.0,133.5,113.47-153.53,DECLINING,-57.0,103.18,110.53,108.32,92.08-124.57,STABLE,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
D Kharel,Batter,162.0,58.0,110.0,93.5-126.5,DECLINING,-104.0,109.46,89.23,95.3,81.0-109.59,STABLE,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
D Bohara,Batter,60.0,3.0,31.5,26.77-36.23,DECLINING,-57.0,105.26,75.0,84.08,71.47-96.69,STABLE,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
BKEL Milantha,Batter,293.0,30.0,161.5,137.28-185.72,DECLINING,-263.0,121.07,88.24,98.09,83.38-112.8,STABLE,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
JA Kolsawala,Batter,54.0,6.0,30.0,25.5-34.5,DECLINING,-48.0,125.58,60.0,92.79,78.87-106.71,DECLINING,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
S Kansakar,Batter,71.0,15.0,43.0,36.55-49.45,DECLINING,-56.0,88.75,83.33,84.96,72.21-97.7,STABLE,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
S Maharjan,Batter,87.0,32.0,59.5,50.58-68.42,DECLINING,-55.0,88.78,78.05,81.27,69.08-93.46,STABLE,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
P Shrestha,Batter,73.0,2.0,37.5,31.88-43.12,DECLINING,-71.0,110.61,25.0,67.81,57.63-77.98,DECLINING,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
Shankar Rana,Batter,41.0,7.0,24.0,20.4-27.6,DECLINING,-34.0,74.55,50.0,57.36,48.76-65.97,STABLE,⚠️ CAUTION,2,₨5-8 lakh,Runs declining - only if backup option
