bowler_name,phase,s1_balls,s1_economy_raw,s1_economy_shrunk,s2_balls,s2_economy_raw,s2_economy_shrunk,s3_economy_proj,specialist_flag
Rohit Chand,Middle,0,,6.82,24,7.5,7.01,7.07,AVERAGE
Rupesh Singh,Death,0,,8.73,31,10.06,9.18,9.32,AVERAGE
Rupesh Singh,Middle,0,,6.82,18,8.67,7.25,7.38,AVERAGE
Rupesh Singh,Powerplay,0,,6.65,6,15.0,7.41,7.64,AVERAGE
S Aryal,Death,6,9.0,8.75,0,,8.73,8.72,AVERAGE
S Aryal,Middle,7,8.57,7.0,0,,6.82,6.77,AVERAGE
S Dhakal,Death,18,8.67,8.72,10,12.0,9.2,9.34,AVERAGE
S Dhakal,Middle,78,6.38,6.57,54,9.44,8.06,8.51,AVERAGE
S Dhakal,Powerplay,54,6.33,6.5,25,7.2,6.81,6.9,AVERAGE
S Jora,Middle,18,7.33,6.94,0,,6.82,6.78,AVERAGE
S Lamichhane,Death,30,7.0,8.15,50,5.28,7.16,6.86,SPECIALIST
S Lamichhane,Middle,121,7.04,6.97,170,4.76,5.3,4.8,SPECIALIST
S Lamichhane,Powerplay,24,9.25,7.39,0,,6.65,6.43,AVERAGE
S Malla,Death,34,3.88,6.98,12,4.0,7.94,8.23,AVERAGE
S Malla,Middle,79,7.67,7.3,109,6.44,6.57,6.35,AVERAGE
S Malla,Powerplay,6,9.0,6.86,96,6.94,6.83,6.82,AVERAGE
S Vesawkar,Middle,18,10.33,7.63,0,,6.82,6.58,AVERAGE
S Vesawkar,Powerplay,18,7.33,6.81,0,,6.65,6.6,AVERAGE
SA Zaib,Death,19,7.58,8.45,12,5.0,8.11,8.01,AVERAGE
SA Zaib,Middle,97,6.43,6.58,108,7.39,7.19,7.37,AVERAGE
SA Zaib,Powerplay,30,4.8,6.03,18,4.33,6.11,6.13,AVERAGE
SC Kuggeleijn,Death,67,8.24,8.47,51,6.24,7.59,7.33,AVERAGE
SC Kuggeleijn,Middle,21,7.71,7.05,12,2.0,6.02,5.71,AVERAGE
